0 (255, 255, 255, 255)
1 (0, 0, 0, 255)
2 (0, 0, 192, 255)
3 (0, 192, 0, 255)
4 (255, 63, 63, 255)
5 (192, 0, 0, 255)
6 (192, 0, 192, 255)
7 (192, 192, 0, 255)
8 (255, 255, 63, 255)
9 (63, 255, 63, 255)
10 (0, 192, 192, 255)
11 (63, 255, 255, 255)
12 (63, 63, 255, 255)
13 (255, 63, 255, 255)
14 (63, 63, 63, 255)
15 (192, 192, 192, 255)
16 (95, 0, 0, 255)
17 (135, 95, 0, 255)
18 (135, 135, 0, 255)
19 (95, 95, 0, 255)
20 (0, 95, 0, 255)
21 (0, 135, 95, 255)
22 (0, 95, 95, 255)
23 (0, 95, 135, 255)
24 (0, 0, 95, 255)
25 (95, 0, 135, 255)
26 (95, 0, 95, 255)
27 (135, 0, 95, 255)
28 (135, 0, 0, 255)
29 (175, 95, 0, 255)
30 (175, 175, 0, 255)
31 (95, 135, 0, 255)
32 (0, 135, 0, 255)
33 (0, 175, 95, 255)
34 (0, 135, 135, 255)
35 (0, 95, 175, 255)
36 (0, 0, 135, 255)
37 (135, 0, 175, 255)
38 (135, 0, 135, 255)
39 (175, 0, 95, 255)
40 (175, 0, 0, 255)
41 (215, 95, 0, 255)
42 (215, 215, 0, 255)
43 (135, 175, 0, 255)
44 (0, 175, 0, 255)
45 (0, 255, 175, 255)
46 (0, 175, 175, 255)
47 (0, 135, 255, 255)
48 (0, 0, 175, 255)
49 (175, 0, 255, 255)
50 (175, 0, 175, 255)
51 (215, 0, 95, 255)
52 (255, 0, 0, 255)
53 (255, 135, 0, 255)
54 (255, 255, 0, 255)
55 (175, 255, 0, 255)
56 (0, 255, 0, 255)
57 (95, 255, 215, 255)
58 (0, 255, 255, 255)
59 (95, 175, 255, 255)
60 (0, 0, 255, 255)
61 (215, 95, 255, 255)
62 (255, 0, 255, 255)
63 (255, 0, 135, 255)
64 (255, 95, 95, 255)
65 (255, 175, 95, 255)
66 (255, 255, 95, 255)
67 (215, 255, 95, 255)
68 (95, 255, 95, 255)
69 (135, 255, 215, 255)
70 (95, 255, 255, 255)
71 (135, 175, 255, 255)
72 (95, 95, 255, 255)
73 (215, 135, 255, 255)
74 (255, 95, 255, 255)
75 (255, 95, 175, 255)
76 (255, 175, 175, 255)
77 (255, 215, 175, 255)
78 (255, 255, 175, 255)
79 (215, 255, 175, 255)
80 (175, 255, 175, 255)
81 (175, 255, 215, 255)
82 (175, 255, 255, 255)
83 (175, 215, 255, 255)
84 (175, 175, 255, 255)
85 (215, 175, 255, 255)
86 (255, 175, 255, 255)
87 (255, 135, 215, 255)
88 (0, 0, 0, 255)
89 (18, 18, 18, 255)
90 (38, 38, 38, 255)
91 (58, 58, 58, 255)
92 (78, 78, 78, 255)
93 (98, 98, 98, 255)
94 (128, 128, 128, 255)
95 (158, 158, 158, 255)
96 (188, 188, 188, 255)
97 (228, 228, 228, 255)
98 (255, 255, 255, 255)
99 (216, 216, 1, 1)
